,id,station,date,prcp,tobs
0,2703,USC00519397,2017-07-31,0.0,80.0
1,5433,USC00513117,2017-07-31,0.0,77.0
2,7615,USC00514830,2017-07-31,,81.0
3,9007,USC00517948,2017-07-31,,81.0
4,12168,USC00519523,2017-07-31,0.0,82.0
5,14950,USC00519281,2017-07-31,0.0,76.0
6,19528,USC00516128,2017-07-31,0.0,74.0
7,2702,USC00519397,2017-07-30,0.0,81.0
8,5432,USC00513117,2017-07-30,0.0,78.0
9,12167,USC00519523,2017-07-30,0.0,84.0
10,14949,USC00519281,2017-07-30,0.0,81.0
11,19527,USC00516128,2017-07-30,0.3,79.0
12,2701,USC00519397,2017-07-29,0.0,81.0
13,5431,USC00513117,2017-07-29,0.06,78.0
14,7614,USC00514830,2017-07-29,0.02,82.0
15,12166,USC00519523,2017-07-29,0.0,83.0
16,14948,USC00519281,2017-07-29,0.23,82.0
17,19526,USC00516128,2017-07-29,0.3,77.0
18,2700,USC00519397,2017-07-28,0.0,81.0
19,5430,USC00513117,2017-07-28,0.13,77.0
20,7613,USC00514830,2017-07-28,0.14,81.0
21,9006,USC00517948,2017-07-28,0.01,80.0
22,12165,USC00519523,2017-07-28,0.0,81.0
23,14947,USC00519281,2017-07-28,0.09,81.0
24,19525,USC00516128,2017-07-28,0.4,73.0
25,2699,USC00519397,2017-07-27,0.0,79.0
26,5429,USC00513117,2017-07-27,0.0,77.0
27,7612,USC00514830,2017-07-27,0.0,80.0
28,9005,USC00517948,2017-07-27,,79.0
29,12164,USC00519523,2017-07-27,0.0,80.0
30,14946,USC00519281,2017-07-27,0.01,76.0
31,19524,USC00516128,2017-07-27,0.0,75.0
32,2698,USC00519397,2017-07-26,0.0,82.0
33,5428,USC00513117,2017-07-26,0.06,78.0
34,7611,USC00514830,2017-07-26,0.02,79.0
35,9004,USC00517948,2017-07-26,,78.0
36,12163,USC00519523,2017-07-26,0.0,84.0
37,14945,USC00519281,2017-07-26,0.12,75.0
38,19523,USC00516128,2017-07-26,0.3,73.0
39,2697,USC00519397,2017-07-25,0.0,80.0
40,5427,USC00513117,2017-07-25,0.03,78.0
41,7610,USC00514830,2017-07-25,0.12,80.0
42,9003,USC00517948,2017-07-25,0.0,81.0
43,12162,USC00519523,2017-07-25,0.05,80.0
44,14944,USC00519281,2017-07-25,0.11,77.0
45,19522,USC00516128,2017-07-25,0.3,79.0
46,2696,USC00519397,2017-07-24,0.05,78.0
47,5426,USC00513117,2017-07-24,0.58,78.0
48,7609,USC00514830,2017-07-24,1.19,79.0
49,12161,USC00519523,2017-07-24,,79.0
50,14943,USC00519281,2017-07-24,0.61,75.0
51,19521,USC00516128,2017-07-24,0.84,77.0
52,2695,USC00519397,2017-07-23,0.0,81.0
53,5425,USC00513117,2017-07-23,0.06,75.0
54,7608,USC00514830,2017-07-23,0.07,82.0
55,14942,USC00519281,2017-07-23,0.2,82.0
56,19520,USC00516128,2017-07-23,0.8,78.0
57,2694,USC00519397,2017-07-22,0.03,81.0
58,5424,USC00513117,2017-07-22,0.07,78.0
59,7607,USC00514830,2017-07-22,0.12,80.0
60,12160,USC00519523,2017-07-22,0.0,78.0
61,14941,USC00519281,2017-07-22,0.2,77.0
62,19519,USC00516128,2017-07-22,4.0,72.0
63,2693,USC00519397,2017-07-21,0.0,80.0
64,5423,USC00513117,2017-07-21,0.0,78.0
